Employee,Task,StartTime,EndTime
Alice,task_03,2024-09-17,2024-09-18
Alice,task_06,2024-09-18,2024-09-19
Alice,task_11,2024-09-19,2024-09-19
Alice,task_12,2024-09-19,2024-09-20
Alice,task_14,2024-09-20,2024-09-25
Alice,task_15,2024-09-25,2024-09-25
Bob,task_01,2024-09-18,2024-09-19
Bob,task_02,2024-09-19,2024-09-20
Bob,task_04,2024-09-20,2024-09-20
Bob,task_09,2024-09-20,2024-09-24
Bob,task_10,2024-09-24,2024-09-25
Bob,task_13,2024-09-25,2024-09-25
Charlie,task_05,2024-09-17,2024-09-18
Charlie,task_07,2024-09-18,2024-09-20
Charlie,task_08,2024-09-20,2024-09-25
